127.0.0.1 - - [01/Mar/2021:19:23:49 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:08 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:08 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:08 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:09 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:27 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:27 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:27 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Mar/2021:19:24:27 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
