0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:40 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:44 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:46 -0300] "PUT /ProjetoTrilhaWeb/rest/marca/ativaMarca/150 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:46 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:46 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:46 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:46 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:46 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:46 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:46 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:48 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:51 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:18:58 -0300] "PUT /ProjetoTrilhaWeb/rest/marca/ativaMarca/150 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:19:20 -0300] "PUT /ProjetoTrilhaWeb/rest/marca/ativaMarca/155 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:19:23 -0300] "PUT /ProjetoTrilhaWeb/rest/marca/ativaMarca/152 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:20:35 -0300] "PUT /ProjetoTrilhaWeb/rest/marca/ativaMarca/155 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:20:37 -0300] "PUT /ProjetoTrilhaWeb/rest/marca/ativaMarca/153 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:20:39 -0300] "PUT /ProjetoTrilhaWeb/rest/marca/ativaMarca/150 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:21:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:21:23 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:21:23 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:21:23 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:21:23 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:21:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1011
