127.0.0.1 - - [19/May/2021:18:47:55 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:41 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:41 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:41 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3618
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:41 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:41 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:43 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:43 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:43 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:44 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:44 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 8809
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:47 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:47 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:47 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:47 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:53 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:54 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 5302
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:54 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:54 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:49:54 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:12 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:12 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 5302
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:12 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:12 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:12 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:13 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 8809
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:13 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:13 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:13 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:13 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:28 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 5302
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:28 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:28 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:28 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:30 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:30 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:30 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:30 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:30 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:30 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:30 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:31 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:31 -0300] "DELETE /ProjetoTrilhaWeb/rest/marca/excluir/10 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:31 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:31 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:31 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:34 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorId?id=1 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:42 -0300] "PUT /ProjetoTrilhaWeb/rest/marca/alterar HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:42 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:42 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:42 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:52 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:52 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 8809
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:52 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:52 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:52 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:50:52 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:17 -0300] "DELETE /ProjetoTrilhaWeb/rest/produto/excluir/14 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:17 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:17 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:17 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:23 -0300] "DELETE /ProjetoTrilhaWeb/rest/produto/excluir/7 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:23 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:23 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:23 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:26 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:26 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 5302
0:0:0:0:0:0:0:1 - - [19/May/2021:18:51:26 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 105
