0:0:0:0:0:0:0:1 - - [03/May/2021:18:48:42 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:48:42 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:48:42 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:48:42 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:48:42 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:48:42 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:48:43 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:48:45 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:35 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:40 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:54 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:10 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4888
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:10 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:10 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:35 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:36 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:48 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:48 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 82
