127.0.0.1 - - [17/Mar/2021:19:43:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:24 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:24 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:25 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:25 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:25 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:31 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:31 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:31 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:32 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:32 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:40 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [17/Mar/2021:19:43:44 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 304 -
